"SEQUENCED, STRENGTH-TWO ORTHOGONAL ARRAY",,,,,,,,,,,
Number variables,11,,,,,,,,,,
"Total points in design, Points printed to sheet",1024,1024,,,,,,,,,
"Max Correlation, Uniformity Index (NA if not computed)",0.0000,1.0000,,,,,,,,,
,,,,,,,,,,,
ASSUMPTIONS,,,,,,,,,,,
Variable name,SMA1_Period,SMA2_Period,RSI_Period,BuyFactor,SellFactor,SMA1buyCoef,SMA2buyCoef,RSIbuyCoef,SMA1sellCoef,SMA2sellCoef,RSIsellCoef
54,7.419354839,39.51612903,187.1612903,29.03225806,35.48387097,96.77419355,-483.8709677,225.8064516,290.3225806,-483.8709677,-96.77419355
55,103.7096774,180.7419355,33.09677419,80.64516129,93.5483871,-548.3870968,354.8387097,354.8387097,-548.3870968,870.9677419,935.483871
56,71.61290323,13.83870968,135.8064516,35.48387097,-61.29032258,419.3548387,741.9354839,-548.3870968,548.3870968,-225.8064516,290.3225806
57,142.2258065,129.3870968,161.483871,3.225806452,67.74193548,290.3225806,32.25806452,161.2903226,741.9354839,-935.483871,-870.9677419
58,187.1612903,58.77419355,20.25806452,-80.64516129,-54.83870968,-870.9677419,-290.3225806,1000,-419.3548387,935.483871,1000
59,161.483871,78.03225806,52.35483871,-74.19354839,9.677419355,741.9354839,161.2903226,-548.3870968,-548.3870968,161.2903226,-548.3870968
60,129.3870968,7.419354839,180.7419355,-41.93548387,-74.19354839,483.8709677,161.2903226,612.9032258,-419.3548387,-548.3870968,-870.9677419
61,45.93548387,1,90.87096774,9.677419355,16.12903226,-96.77419355,741.9354839,-870.9677419,290.3225806,806.4516129,-612.9032258
62,90.87096774,65.19354839,52.35483871,-87.09677419,-48.38709677,-677.4193548,806.4516129,612.9032258,161.2903226,612.9032258,-1000
63,84.4516129,45.93548387,20.25806452,100,74.19354839,32.25806452,161.2903226,-1000,-225.8064516,-806.4516129,677.4193548
64,142.2258065,167.9032258,103.7096774,-93.5483871,41.93548387,-354.8387097,-870.9677419,-161.2903226,-419.3548387,806.4516129,225.8064516
65,20.25806452,26.67741935,52.35483871,61.29032258,-9.677419355,-290.3225806,-290.3225806,-677.4193548,-1000,419.3548387,-419.3548387
66,26.67741935,103.7096774,7.419354839,22.58064516,9.677419355,-419.3548387,419.3548387,32.25806452,-935.483871,-677.4193548,354.8387097
67,193.5806452,90.87096774,167.9032258,-100,-80.64516129,-483.8709677,290.3225806,-1000,225.8064516,419.3548387,-612.9032258
68,1,20.25806452,142.2258065,74.19354839,-22.58064516,354.8387097,548.3870968,935.483871,677.4193548,225.8064516,-935.483871
69,142.2258065,180.7419355,84.4516129,-29.03225806,-93.5483871,-225.8064516,1000,1000,96.77419355,-161.2903226,-548.3870968
70,7.419354839,103.7096774,116.5483871,67.74193548,87.09677419,935.483871,-935.483871,612.9032258,1000,806.4516129,-225.8064516
71,13.83870968,1,103.7096774,29.03225806,-87.09677419,225.8064516,-354.8387097,870.9677419,-96.77419355,-935.483871,806.4516129
72,33.09677419,193.5806452,90.87096774,-3.225806452,-3.225806452,-290.3225806,290.3225806,806.4516129,870.9677419,612.9032258,1000
73,167.9032258,148.6451613,39.51612903,35.48387097,-3.225806452,548.3870968,-677.4193548,1000,-612.9032258,-483.8709677,-677.4193548
74,193.5806452,1,155.0645161,-48.38709677,-35.48387097,741.9354839,-677.4193548,-741.9354839,-806.4516129,225.8064516,354.8387097
75,52.35483871,193.5806452,13.83870968,-74.19354839,61.29032258,-96.77419355,548.3870968,-677.4193548,-225.8064516,-548.3870968,870.9677419
76,78.03225806,129.3870968,39.51612903,16.12903226,100,-870.9677419,-419.3548387,96.77419355,96.77419355,-1000,-806.4516129
77,103.7096774,116.5483871,174.3225806,74.19354839,-29.03225806,612.9032258,741.9354839,96.77419355,-32.25806452,483.8709677,870.9677419
78,155.0645161,20.25806452,187.1612903,-80.64516129,41.93548387,612.9032258,-1000,-1000,-1000,677.4193548,-32.25806452
79,116.5483871,161.483871,20.25806452,-54.83870968,16.12903226,354.8387097,96.77419355,419.3548387,483.8709677,-741.9354839,-32.25806452
80,65.19354839,148.6451613,71.61290323,-29.03225806,87.09677419,290.3225806,-161.2903226,-290.3225806,806.4516129,935.483871,161.2903226
81,78.03225806,58.77419355,110.1290323,3.225806452,-35.48387097,96.77419355,1000,290.3225806,419.3548387,96.77419355,-483.8709677
82,52.35483871,7.419354839,33.09677419,100,-16.12903226,-1000,-225.8064516,-161.2903226,419.3548387,-161.2903226,32.25806452
83,58.77419355,161.483871,39.51612903,48.38709677,-48.38709677,-741.9354839,483.8709677,677.4193548,-1000,-419.3548387,419.3548387
84,90.87096774,103.7096774,180.7419355,100,-93.5483871,354.8387097,-32.25806452,-612.9032258,225.8064516,-419.3548387,548.3870968
85,174.3225806,65.19354839,200,-48.38709677,-22.58064516,-741.9354839,-483.8709677,-96.77419355,1000,419.3548387,-32.25806452
86,180.7419355,39.51612903,1,93.5483871,-35.48387097,483.8709677,935.483871,-870.9677419,-1000,-935.483871,-806.4516129
87,58.77419355,142.2258065,180.7419355,-100,22.58064516,-225.8064516,354.8387097,-741.9354839,483.8709677,-290.3225806,-354.8387097
88,110.1290323,58.77419355,148.6451613,54.83870968,-87.09677419,-419.3548387,870.9677419,-225.8064516,290.3225806,-96.77419355,-225.8064516
89,103.7096774,129.3870968,65.19354839,-54.83870968,-48.38709677,741.9354839,290.3225806,-32.25806452,-354.8387097,96.77419355,-935.483871
90,71.61290323,52.35483871,129.3870968,87.09677419,-16.12903226,1000,612.9032258,-806.4516129,-483.8709677,-677.4193548,612.9032258
91,180.7419355,148.6451613,193.5806452,22.58064516,48.38709677,612.9032258,-806.4516129,677.4193548,677.4193548,-161.2903226,612.9032258
92,110.1290323,187.1612903,200,-93.5483871,-74.19354839,161.2903226,225.8064516,-612.9032258,96.77419355,354.8387097,290.3225806
93,58.77419355,45.93548387,84.4516129,-3.225806452,80.64516129,225.8064516,-741.9354839,290.3225806,161.2903226,1000,-96.77419355
94,1,148.6451613,26.67741935,-67.74193548,74.19354839,-225.8064516,806.4516129,-354.8387097,-354.8387097,-935.483871,225.8064516
95,90.87096774,58.77419355,135.8064516,-41.93548387,48.38709677,-1000,290.3225806,-354.8387097,-935.483871,741.9354839,-161.2903226
96,71.61290323,84.4516129,7.419354839,-67.74193548,22.58064516,161.2903226,1000,-161.2903226,-161.2903226,-32.25806452,-935.483871
97,26.67741935,7.419354839,187.1612903,-61.29032258,-22.58064516,806.4516129,-419.3548387,483.8709677,-483.8709677,1000,-290.3225806
98,84.4516129,20.25806452,71.61290323,-16.12903226,-80.64516129,-32.25806452,677.4193548,-483.8709677,-161.2903226,-1000,741.9354839
99,161.483871,39.51612903,65.19354839,80.64516129,67.74193548,-612.9032258,419.3548387,1000,1000,483.8709677,612.9032258
100,155.0645161,161.483871,142.2258065,3.225806452,35.48387097,-96.77419355,-225.8064516,741.9354839,-32.25806452,-677.4193548,-806.4516129
101,39.51612903,180.7419355,110.1290323,22.58064516,-16.12903226,483.8709677,677.4193548,-1000,-612.9032258,935.483871,419.3548387
102,20.25806452,39.51612903,161.483871,-29.03225806,-48.38709677,-935.483871,677.4193548,354.8387097,32.25806452,-32.25806452,96.77419355
103,45.93548387,71.61290323,52.35483871,100,-87.09677419,-935.483871,-1000,-806.4516129,806.4516129,96.77419355,-870.9677419
104,1,180.7419355,97.29032258,-100,-61.29032258,677.4193548,-32.25806452,548.3870968,-870.9677419,-677.4193548,-32.25806452
105,148.6451613,110.1290323,129.3870968,41.93548387,61.29032258,548.3870968,32.25806452,-32.25806452,419.3548387,-1000,-161.2903226
106,26.67741935,71.61290323,148.6451613,9.677419355,74.19354839,612.9032258,-741.9354839,870.9677419,548.3870968,354.8387097,-677.4193548
107,45.93548387,193.5806452,97.29032258,-9.677419355,-35.48387097,-741.9354839,161.2903226,-354.8387097,741.9354839,-290.3225806,-677.4193548
108,122.9677419,135.8064516,78.03225806,87.09677419,74.19354839,806.4516129,935.483871,548.3870968,-32.25806452,806.4516129,96.77419355
109,116.5483871,20.25806452,58.77419355,-61.29032258,61.29032258,-1000,-161.2903226,-935.483871,-806.4516129,354.8387097,-806.4516129
110,58.77419355,116.5483871,167.9032258,-35.48387097,-93.5483871,-870.9677419,-677.4193548,-483.8709677,1000,612.9032258,32.25806452
111,200,116.5483871,33.09677419,-48.38709677,29.03225806,32.25806452,677.4193548,612.9032258,-741.9354839,1000,1000
112,7.419354839,1,20.25806452,-22.58064516,-67.74193548,-612.9032258,-548.3870968,677.4193548,419.3548387,-354.8387097,935.483871
113,116.5483871,90.87096774,33.09677419,67.74193548,-100,419.3548387,870.9677419,-677.4193548,32.25806452,-483.8709677,-354.8387097
114,103.7096774,90.87096774,155.0645161,16.12903226,9.677419355,-96.77419355,-354.8387097,1000,-1000,612.9032258,-225.8064516
115,39.51612903,200,161.483871,35.48387097,-29.03225806,354.8387097,483.8709677,870.9677419,-354.8387097,870.9677419,-806.4516129
116,26.67741935,148.6451613,167.9032258,80.64516129,29.03225806,741.9354839,-1000,-96.77419355,290.3225806,-419.3548387,806.4516129
117,1,200,58.77419355,-35.48387097,80.64516129,-741.9354839,96.77419355,-32.25806452,-225.8064516,-96.77419355,-483.8709677
118,148.6451613,1,200,-3.225806452,100,-161.2903226,96.77419355,-1000,-483.8709677,-419.3548387,225.8064516
119,1,26.67741935,129.3870968,-3.225806452,-93.5483871,-548.3870968,483.8709677,483.8709677,354.8387097,741.9354839,-677.4193548
120,200,52.35483871,84.4516129,61.29032258,3.225806452,-483.8709677,-935.483871,-290.3225806,-290.3225806,-225.8064516,32.25806452
121,193.5806452,193.5806452,71.61290323,-80.64516129,16.12903226,32.25806452,-419.3548387,354.8387097,-612.9032258,290.3225806,-354.8387097
122,155.0645161,142.2258065,7.419354839,41.93548387,87.09677419,870.9677419,741.9354839,1000,-806.4516129,-548.3870968,32.25806452
123,52.35483871,78.03225806,116.5483871,29.03225806,100,677.4193548,-677.4193548,-290.3225806,-32.25806452,-806.4516129,-612.9032258
124,129.3870968,13.83870968,148.6451613,-9.677419355,-29.03225806,-483.8709677,-225.8064516,1000,870.9677419,-32.25806452,741.9354839
125,103.7096774,39.51612903,78.03225806,35.48387097,-93.5483871,935.483871,161.2903226,-96.77419355,-870.9677419,-741.9354839,1000
126,26.67741935,90.87096774,103.7096774,-74.19354839,-74.19354839,-612.9032258,-677.4193548,161.2903226,-161.2903226,870.9677419,-483.8709677
127,148.6451613,129.3870968,58.77419355,61.29032258,35.48387097,32.25806452,-96.77419355,483.8709677,612.9032258,548.3870968,806.4516129
128,110.1290323,174.3225806,122.9677419,-41.93548387,-22.58064516,1000,483.8709677,290.3225806,-741.9354839,612.9032258,225.8064516
129,78.03225806,180.7419355,200,61.29032258,22.58064516,806.4516129,-225.8064516,806.4516129,741.9354839,-806.4516129,612.9032258
130,110.1290323,52.35483871,103.7096774,-87.09677419,87.09677419,-225.8064516,-548.3870968,-1000,935.483871,741.9354839,-806.4516129
131,13.83870968,103.7096774,39.51612903,-29.03225806,-80.64516129,-290.3225806,354.8387097,483.8709677,-32.25806452,225.8064516,677.4193548
132,148.6451613,52.35483871,13.83870968,-16.12903226,54.83870968,354.8387097,-225.8064516,612.9032258,96.77419355,96.77419355,354.8387097
133,193.5806452,33.09677419,148.6451613,87.09677419,-3.225806452,354.8387097,741.9354839,-354.8387097,419.3548387,1000,-419.3548387
134,116.5483871,135.8064516,193.5806452,-3.225806452,54.83870968,483.8709677,-32.25806452,-548.3870968,1000,225.8064516,-483.8709677
135,1,161.483871,187.1612903,16.12903226,-3.225806452,-1000,1000,-483.8709677,161.2903226,806.4516129,-870.9677419
136,65.19354839,7.419354839,58.77419355,-80.64516129,-41.93548387,96.77419355,-548.3870968,870.9677419,-935.483871,-1000,-1000
137,167.9032258,90.87096774,13.83870968,61.29032258,-67.74193548,935.483871,-1000,-548.3870968,-419.3548387,1000,-161.2903226
138,97.29032258,71.61290323,161.483871,-74.19354839,-3.225806452,-483.8709677,354.8387097,612.9032258,612.9032258,-677.4193548,225.8064516
139,129.3870968,135.8064516,26.67741935,-100,9.677419355,290.3225806,-1000,96.77419355,419.3548387,548.3870968,-677.4193548
140,129.3870968,116.5483871,58.77419355,48.38709677,-3.225806452,-806.4516129,-354.8387097,-1000,-677.4193548,870.9677419,612.9032258
141,78.03225806,116.5483871,193.5806452,-61.29032258,-87.09677419,-96.77419355,483.8709677,-32.25806452,-419.3548387,-290.3225806,354.8387097
142,187.1612903,200,78.03225806,-29.03225806,41.93548387,-548.3870968,870.9677419,806.4516129,-806.4516129,-1000,290.3225806
143,13.83870968,78.03225806,78.03225806,-61.29032258,-100,-419.3548387,-806.4516129,-1000,354.8387097,-548.3870968,-935.483871
144,52.35483871,148.6451613,129.3870968,54.83870968,54.83870968,161.2903226,-612.9032258,354.8387097,-290.3225806,-354.8387097,741.9354839
145,174.3225806,97.29032258,193.5806452,100,100,-612.9032258,677.4193548,-741.9354839,870.9677419,741.9354839,483.8709677
146,161.483871,161.483871,174.3225806,9.677419355,-100,-806.4516129,612.9032258,-161.2903226,-290.3225806,96.77419355,1000
147,129.3870968,193.5806452,142.2258065,41.93548387,93.5483871,161.2903226,483.8709677,-419.3548387,1000,-161.2903226,-290.3225806
148,65.19354839,33.09677419,33.09677419,-16.12903226,-87.09677419,1000,-290.3225806,96.77419355,677.4193548,806.4516129,548.3870968
149,135.8064516,116.5483871,7.419354839,100,-41.93548387,-225.8064516,870.9677419,-548.3870968,-96.77419355,-870.9677419,-32.25806452
150,90.87096774,97.29032258,71.61290323,29.03225806,61.29032258,1000,1000,-225.8064516,-354.8387097,-612.9032258,-677.4193548
151,26.67741935,84.4516129,20.25806452,-41.93548387,80.64516129,-935.483871,-32.25806452,-870.9677419,-290.3225806,-1000,612.9032258
152,7.419354839,58.77419355,7.419354839,35.48387097,-16.12903226,-741.9354839,-806.4516129,548.3870968,806.4516129,225.8064516,870.9677419
153,193.5806452,174.3225806,129.3870968,-16.12903226,-54.83870968,612.9032258,225.8064516,-548.3870968,-225.8064516,32.25806452,-806.4516129
154,142.2258065,174.3225806,7.419354839,61.29032258,-80.64516129,741.9354839,-419.3548387,-870.9677419,419.3548387,741.9354839,-1000
155,180.7419355,13.83870968,116.5483871,87.09677419,-87.09677419,290.3225806,354.8387097,-161.2903226,-612.9032258,419.3548387,-161.2903226
156,45.93548387,167.9032258,180.7419355,-87.09677419,-41.93548387,161.2903226,-806.4516129,1000,-32.25806452,-741.9354839,483.8709677
157,39.51612903,52.35483871,90.87096774,-54.83870968,41.93548387,-677.4193548,-677.4193548,96.77419355,-870.9677419,419.3548387,-354.8387097
158,187.1612903,33.09677419,193.5806452,16.12903226,29.03225806,-225.8064516,-870.9677419,290.3225806,-935.483871,870.9677419,-612.9032258
159,58.77419355,103.7096774,45.93548387,87.09677419,-22.58064516,-354.8387097,-96.77419355,-548.3870968,741.9354839,-1000,935.483871
160,84.4516129,52.35483871,161.483871,-9.677419355,-100,677.4193548,-1000,225.8064516,1000,-870.9677419,935.483871
161,20.25806452,71.61290323,103.7096774,-3.225806452,61.29032258,-419.3548387,-483.8709677,96.77419355,-677.4193548,-161.2903226,290.3225806
162,161.483871,33.09677419,71.61290323,-100,80.64516129,483.8709677,548.3870968,870.9677419,-32.25806452,-419.3548387,-225.8064516
163,97.29032258,122.9677419,148.6451613,-54.83870968,-74.19354839,419.3548387,1000,-1000,806.4516129,548.3870968,354.8387097
164,187.1612903,161.483871,90.87096774,35.48387097,-67.74193548,-935.483871,-96.77419355,-354.8387097,-548.3870968,-548.3870968,741.9354839
165,103.7096774,20.25806452,7.419354839,-74.19354839,35.48387097,-290.3225806,32.25806452,-806.4516129,1000,-419.3548387,96.77419355
166,180.7419355,167.9032258,167.9032258,3.225806452,9.677419355,935.483871,-741.9354839,419.3548387,870.9677419,-1000,-935.483871
167,26.67741935,161.483871,122.9677419,74.19354839,-80.64516129,483.8709677,-290.3225806,-741.9354839,354.8387097,161.2903226,32.25806452
168,161.483871,116.5483871,116.5483871,-22.58064516,61.29032258,806.4516129,-870.9677419,225.8064516,612.9032258,-741.9354839,-935.483871
169,33.09677419,20.25806452,65.19354839,9.677419355,-35.48387097,-161.2903226,225.8064516,548.3870968,483.8709677,-806.4516129,419.3548387
170,58.77419355,187.1612903,116.5483871,-54.83870968,-61.29032258,-419.3548387,806.4516129,1000,-483.8709677,-354.8387097,96.77419355
171,78.03225806,142.2258065,20.25806452,29.03225806,-100,-354.8387097,677.4193548,548.3870968,-935.483871,612.9032258,548.3870968
172,122.9677419,200,135.8064516,-61.29032258,87.09677419,-290.3225806,-741.9354839,-483.8709677,419.3548387,-677.4193548,-548.3870968
173,90.87096774,7.419354839,161.483871,9.677419355,-9.677419355,-612.9032258,870.9677419,-32.25806452,-741.9354839,290.3225806,-548.3870968
174,71.61290323,148.6451613,122.9677419,100,-29.03225806,935.483871,-548.3870968,741.9354839,161.2903226,-96.77419355,-419.3548387
175,71.61290323,20.25806452,90.87096774,22.58064516,80.64516129,-612.9032258,-935.483871,419.3548387,612.9032258,96.77419355,-161.2903226
176,13.83870968,116.5483871,20.25806452,80.64516129,35.48387097,677.4193548,225.8064516,935.483871,-612.9032258,741.9354839,-548.3870968
177,7.419354839,78.03225806,193.5806452,-41.93548387,93.5483871,419.3548387,612.9032258,806.4516129,-161.2903226,1000,-1000
178,33.09677419,97.29032258,148.6451613,-80.64516129,22.58064516,935.483871,-354.8387097,-419.3548387,225.8064516,96.77419355,96.77419355
179,129.3870968,148.6451613,174.3225806,-16.12903226,-61.29032258,-96.77419355,-870.9677419,32.25806452,-806.4516129,741.9354839,935.483871
180,161.483871,71.61290323,135.8064516,74.19354839,41.93548387,-741.9354839,-32.25806452,-419.3548387,870.9677419,870.9677419,354.8387097
181,200,7.419354839,52.35483871,3.225806452,-67.74193548,-870.9677419,419.3548387,-1000,-161.2903226,-612.9032258,-225.8064516
182,58.77419355,129.3870968,148.6451613,100,41.93548387,-96.77419355,225.8064516,419.3548387,-290.3225806,-483.8709677,-1000
183,135.8064516,90.87096774,116.5483871,-41.93548387,54.83870968,96.77419355,-741.9354839,483.8709677,-548.3870968,-96.77419355,-806.4516129
184,45.93548387,52.35483871,193.5806452,-100,67.74193548,935.483871,806.4516129,-612.9032258,-225.8064516,290.3225806,741.9354839
185,13.83870968,161.483871,45.93548387,-9.677419355,9.677419355,-225.8064516,-419.3548387,-225.8064516,-225.8064516,483.8709677,290.3225806
186,161.483871,103.7096774,103.7096774,93.5483871,-67.74193548,-1000,-612.9032258,741.9354839,290.3225806,32.25806452,-677.4193548
187,200,200,187.1612903,87.09677419,48.38709677,-419.3548387,-225.8064516,161.2903226,612.9032258,225.8064516,419.3548387
188,110.1290323,33.09677419,45.93548387,41.93548387,-100,225.8064516,161.2903226,161.2903226,-1000,-677.4193548,741.9354839
189,135.8064516,122.9677419,58.77419355,22.58064516,-9.677419355,354.8387097,-612.9032258,-806.4516129,-32.25806452,-483.8709677,1000
190,7.419354839,65.19354839,174.3225806,-61.29032258,-3.225806452,741.9354839,-225.8064516,-612.9032258,-1000,-1000,96.77419355
191,200,45.93548387,71.61290323,-93.5483871,-16.12903226,548.3870968,-32.25806452,419.3548387,-806.4516129,612.9032258,-548.3870968
192,148.6451613,135.8064516,90.87096774,-35.48387097,-9.677419355,96.77419355,483.8709677,-225.8064516,483.8709677,-870.9677419,612.9032258
193,148.6451613,193.5806452,122.9677419,54.83870968,-41.93548387,-1000,-1000,548.3870968,-161.2903226,-483.8709677,290.3225806
