"SEQUENCED, STRENGTH-TWO ORTHOGONAL ARRAY",,,,,,,,,,,,,
Number variables,13,,,,,,,,,,,,
"Total points in design, Points printed to sheet",1024,1024,,,,,,,,,,,
"Max Correlation, Uniformity Index (NA if not computed)",0.0000,1.0000,,,,,,,,,,,
,,,,,,,,,,,,,
ASSUMPTIONS,,,,,,,,,,,,,
Variable name,SMA1_Period,SMA2_Period,RSI_Period,BuyFactor,SellFactor,SMA1buyCoef,SMA2buyCoef,RSIbuyCoef,SMA1sellCoef,SMA2sellCoef,RSIsellCoef,OBV_buyfactor,OBV_sellfactor
11,78.03225806,13.83870968,33.09677419,6.129032258,5.806451613,-935.483871,612.9032258,-612.9032258,161.2903226,741.9354839,-290.3225806,-741.9354839,612.9032258
12,200,200,187.1612903,9.35483871,7.419354839,-419.3548387,-225.8064516,161.2903226,612.9032258,225.8064516,419.3548387,419.3548387,-483.8709677
13,129.3870968,148.6451613,174.3225806,4.193548387,1.935483871,-96.77419355,-870.9677419,32.25806452,-806.4516129,741.9354839,935.483871,-225.8064516,354.8387097
14,90.87096774,65.19354839,52.35483871,0.64516129,2.580645161,-677.4193548,806.4516129,612.9032258,161.2903226,612.9032258,-1000,870.9677419,32.25806452
15,45.93548387,20.25806452,116.5483871,7.741935484,4.838709677,419.3548387,-419.3548387,-741.9354839,-935.483871,-612.9032258,935.483871,806.4516129,-225.8064516
16,174.3225806,129.3870968,155.0645161,1.935483871,3.548387097,-225.8064516,-935.483871,548.3870968,290.3225806,935.483871,677.4193548,-96.77419355,612.9032258
17,39.51612903,116.5483871,78.03225806,2.903225806,1.612903226,741.9354839,-483.8709677,419.3548387,-483.8709677,290.3225806,-612.9032258,612.9032258,677.4193548
18,180.7419355,26.67741935,78.03225806,0,10,-1000,-96.77419355,1000,32.25806452,1000,-483.8709677,290.3225806,-935.483871
19,52.35483871,71.61290323,155.0645161,6.129032258,1.935483871,96.77419355,-290.3225806,806.4516129,1000,548.3870968,161.2903226,-548.3870968,-612.9032258
20,116.5483871,174.3225806,187.1612903,10,6.129032258,-741.9354839,548.3870968,1000,-548.3870968,-677.4193548,806.4516129,-225.8064516,-161.2903226
21,78.03225806,135.8064516,45.93548387,2.580645161,8.064516129,870.9677419,354.8387097,-354.8387097,677.4193548,-419.3548387,-1000,-419.3548387,419.3548387
22,193.5806452,39.51612903,97.29032258,5.483870968,4.193548387,419.3548387,32.25806452,612.9032258,-96.77419355,-96.77419355,741.9354839,-741.9354839,-677.4193548
23,7.419354839,20.25806452,122.9677419,5.161290323,0.322580645,-354.8387097,806.4516129,870.9677419,-612.9032258,483.8709677,-612.9032258,225.8064516,-354.8387097
24,155.0645161,78.03225806,161.483871,10,8.064516129,-32.25806452,935.483871,677.4193548,-935.483871,32.25806452,-225.8064516,677.4193548,32.25806452
25,187.1612903,1,7.419354839,7.419354839,7.419354839,548.3870968,-1000,-419.3548387,741.9354839,290.3225806,-806.4516129,-161.2903226,-1000
26,7.419354839,65.19354839,174.3225806,1.935483871,4.838709677,741.9354839,-225.8064516,-612.9032258,-1000,-1000,96.77419355,-419.3548387,-806.4516129
27,103.7096774,110.1290323,20.25806452,0,3.225806452,-806.4516129,-870.9677419,483.8709677,870.9677419,161.2903226,290.3225806,-612.9032258,741.9354839
28,103.7096774,39.51612903,78.03225806,6.774193548,0.322580645,935.483871,161.2903226,-96.77419355,-870.9677419,-741.9354839,1000,-419.3548387,548.3870968
29,148.6451613,148.6451613,65.19354839,1.290322581,5.806451613,483.8709677,-483.8709677,-161.2903226,870.9677419,-225.8064516,548.3870968,1000,32.25806452
30,84.4516129,1,148.6451613,8.064516129,9.032258065,161.2903226,-161.2903226,96.77419355,-354.8387097,161.2903226,-32.25806452,-225.8064516,-32.25806452
31,142.2258065,174.3225806,7.419354839,8.064516129,0.967741935,741.9354839,-419.3548387,-870.9677419,419.3548387,741.9354839,-1000,354.8387097,935.483871
32,110.1290323,65.19354839,97.29032258,0.967741935,7.741935484,290.3225806,96.77419355,-483.8709677,-806.4516129,1000,612.9032258,741.9354839,-354.8387097
33,180.7419355,129.3870968,122.9677419,0.322580645,9.032258065,-32.25806452,-612.9032258,-1000,1000,-677.4193548,-354.8387097,419.3548387,-806.4516129
34,26.67741935,180.7419355,39.51612903,4.516129032,7.741935484,935.483871,-806.4516129,-32.25806452,483.8709677,612.9032258,-612.9032258,-870.9677419,161.2903226
35,33.09677419,142.2258065,1,10,1.612903226,-548.3870968,1000,225.8064516,-32.25806452,419.3548387,225.8064516,-1000,870.9677419
36,90.87096774,161.483871,193.5806452,1.612903226,4.193548387,225.8064516,-1000,1000,-677.4193548,-1000,-354.8387097,483.8709677,290.3225806
37,122.9677419,193.5806452,52.35483871,6.774193548,3.870967742,612.9032258,-161.2903226,-225.8064516,-96.77419355,-354.8387097,354.8387097,-870.9677419,-290.3225806
38,174.3225806,71.61290323,20.25806452,9.35483871,8.387096774,419.3548387,483.8709677,-483.8709677,96.77419355,32.25806452,-741.9354839,225.8064516,1000
39,13.83870968,90.87096774,58.77419355,1.612903226,7.096774194,1000,935.483871,-483.8709677,548.3870968,-419.3548387,935.483871,-612.9032258,-870.9677419
40,58.77419355,58.77419355,33.09677419,3.870967742,4.838709677,161.2903226,419.3548387,483.8709677,-225.8064516,-225.8064516,-548.3870968,161.2903226,-161.2903226
41,7.419354839,45.93548387,148.6451613,3.548387097,8.387096774,-1000,-870.9677419,-741.9354839,-677.4193548,-870.9677419,548.3870968,-806.4516129,-483.8709677
42,26.67741935,33.09677419,84.4516129,8.387096774,4.193548387,-806.4516129,225.8064516,-419.3548387,935.483871,-870.9677419,-161.2903226,612.9032258,-225.8064516
43,78.03225806,174.3225806,116.5483871,3.548387097,7.419354839,-483.8709677,32.25806452,-225.8064516,-870.9677419,870.9677419,-96.77419355,32.25806452,1000
44,135.8064516,13.83870968,187.1612903,5.483870968,2.258064516,935.483871,-32.25806452,-677.4193548,-161.2903226,-935.483871,32.25806452,677.4193548,-935.483871
45,58.77419355,39.51612903,193.5806452,0.64516129,3.548387097,-290.3225806,-419.3548387,32.25806452,612.9032258,354.8387097,548.3870968,548.3870968,806.4516129
46,129.3870968,116.5483871,58.77419355,7.419354839,4.838709677,-806.4516129,-354.8387097,-1000,-677.4193548,870.9677419,612.9032258,-290.3225806,-677.4193548
47,167.9032258,52.35483871,52.35483871,6.129032258,6.774193548,-1000,354.8387097,290.3225806,-354.8387097,-1000,870.9677419,-96.77419355,935.483871
48,33.09677419,103.7096774,200,3.225806452,2.903225806,483.8709677,-870.9677419,-806.4516129,-354.8387097,1000,-548.3870968,419.3548387,548.3870968
49,45.93548387,90.87096774,174.3225806,5.161290323,9.35483871,-1000,225.8064516,806.4516129,677.4193548,161.2903226,354.8387097,935.483871,-677.4193548
50,142.2258065,135.8064516,33.09677419,6.774193548,2.903225806,-612.9032258,96.77419355,-935.483871,-1000,-612.9032258,-96.77419355,1000,290.3225806
51,193.5806452,161.483871,161.483871,9.032258065,1.290322581,-161.2903226,806.4516129,290.3225806,677.4193548,-612.9032258,161.2903226,-870.9677419,-32.25806452
52,116.5483871,187.1612903,103.7096774,7.419354839,4.193548387,-96.77419355,354.8387097,225.8064516,225.8064516,-32.25806452,-419.3548387,1000,161.2903226
53,116.5483871,148.6451613,7.419354839,5.483870968,5.161290323,96.77419355,935.483871,-1000,96.77419355,1000,483.8709677,-935.483871,806.4516129
54,142.2258065,65.19354839,135.8064516,7.096774194,1.612903226,-806.4516129,-806.4516129,935.483871,612.9032258,-96.77419355,-741.9354839,-96.77419355,-935.483871
55,90.87096774,110.1290323,84.4516129,8.709677419,1.935483871,-290.3225806,483.8709677,354.8387097,290.3225806,677.4193548,-870.9677419,-677.4193548,-96.77419355
56,161.483871,7.419354839,129.3870968,1.612903226,3.225806452,-32.25806452,-96.77419355,96.77419355,806.4516129,612.9032258,96.77419355,161.2903226,-612.9032258
57,65.19354839,129.3870968,45.93548387,7.741935484,6.451612903,677.4193548,483.8709677,1000,161.2903226,225.8064516,-161.2903226,677.4193548,-612.9032258
58,84.4516129,20.25806452,71.61290323,4.193548387,0.967741935,-32.25806452,677.4193548,-483.8709677,-161.2903226,-1000,741.9354839,-1000,806.4516129
59,148.6451613,200,103.7096774,0.967741935,6.451612903,-677.4193548,-935.483871,-612.9032258,354.8387097,-741.9354839,935.483871,161.2903226,806.4516129
60,71.61290323,52.35483871,129.3870968,9.35483871,4.193548387,1000,612.9032258,-806.4516129,-483.8709677,-677.4193548,612.9032258,-935.483871,-290.3225806
61,39.51612903,58.77419355,200,0,5.806451613,-354.8387097,-741.9354839,-290.3225806,-96.77419355,-483.8709677,96.77419355,-225.8064516,419.3548387
62,97.29032258,7.419354839,1,4.516129032,10,-354.8387097,-354.8387097,677.4193548,161.2903226,-225.8064516,-935.483871,-96.77419355,-483.8709677
63,58.77419355,1,174.3225806,6.774193548,8.709677419,-483.8709677,-32.25806452,-806.4516129,935.483871,677.4193548,-225.8064516,-741.9354839,483.8709677
64,7.419354839,193.5806452,180.7419355,9.032258065,0.64516129,806.4516129,-612.9032258,419.3548387,161.2903226,935.483871,-806.4516129,-612.9032258,419.3548387
65,161.483871,142.2258065,84.4516129,2.903225806,2.903225806,290.3225806,-290.3225806,-612.9032258,548.3870968,225.8064516,806.4516129,806.4516129,483.8709677
66,71.61290323,103.7096774,20.25806452,5.806451613,0.64516129,-483.8709677,806.4516129,161.2903226,-806.4516129,-161.2903226,-354.8387097,-419.3548387,-225.8064516
67,97.29032258,122.9677419,148.6451613,2.258064516,1.290322581,419.3548387,1000,-1000,806.4516129,548.3870968,354.8387097,-677.4193548,290.3225806
68,187.1612903,84.4516129,116.5483871,0.322580645,0.322580645,483.8709677,-225.8064516,354.8387097,-225.8064516,-290.3225806,-32.25806452,-32.25806452,741.9354839
69,52.35483871,187.1612903,187.1612903,8.387096774,9.677419355,-870.9677419,677.4193548,-225.8064516,-806.4516129,161.2903226,-935.483871,225.8064516,612.9032258
70,65.19354839,155.0645161,90.87096774,8.387096774,8.387096774,32.25806452,1000,548.3870968,354.8387097,-419.3548387,-806.4516129,-32.25806452,96.77419355
71,187.1612903,135.8064516,135.8064516,6.129032258,9.677419355,32.25806452,225.8064516,-96.77419355,-677.4193548,-935.483871,-225.8064516,-225.8064516,-354.8387097
72,200,90.87096774,45.93548387,6.129032258,0.64516129,-290.3225806,-870.9677419,548.3870968,-483.8709677,-548.3870968,483.8709677,806.4516129,-806.4516129
73,1,200,58.77419355,3.225806452,9.032258065,-741.9354839,96.77419355,-32.25806452,-225.8064516,-96.77419355,-483.8709677,612.9032258,612.9032258
74,161.483871,122.9677419,20.25806452,8.387096774,5.161290323,612.9032258,-483.8709677,-741.9354839,161.2903226,-548.3870968,225.8064516,419.3548387,-935.483871
75,200,187.1612903,1,9.032258065,3.548387097,-1000,96.77419355,-548.3870968,806.4516129,-290.3225806,-290.3225806,-419.3548387,-96.77419355
76,90.87096774,71.61290323,1,1.935483871,2.903225806,935.483871,-612.9032258,161.2903226,-612.9032258,-806.4516129,870.9677419,290.3225806,741.9354839
77,155.0645161,148.6451613,148.6451613,0.322580645,3.225806452,806.4516129,483.8709677,-935.483871,-548.3870968,-1000,1000,-741.9354839,161.2903226
78,1,97.29032258,135.8064516,0.64516129,2.258064516,-96.77419355,-1000,870.9677419,32.25806452,161.2903226,-290.3225806,-935.483871,483.8709677
79,135.8064516,174.3225806,97.29032258,6.774193548,5.161290323,483.8709677,1000,741.9354839,32.25806452,-1000,-612.9032258,870.9677419,-483.8709677
80,110.1290323,1,142.2258065,9.677419355,6.129032258,-935.483871,-419.3548387,612.9032258,354.8387097,-483.8709677,-548.3870968,-548.3870968,-96.77419355
81,167.9032258,1,33.09677419,0.967741935,2.580645161,-419.3548387,1000,-354.8387097,1000,32.25806452,483.8709677,483.8709677,741.9354839
82,52.35483871,148.6451613,129.3870968,7.741935484,7.741935484,161.2903226,-612.9032258,354.8387097,-290.3225806,-354.8387097,741.9354839,-419.3548387,-483.8709677
83,39.51612903,200,161.483871,6.774193548,3.548387097,354.8387097,483.8709677,870.9677419,-354.8387097,870.9677419,-806.4516129,354.8387097,-806.4516129
84,26.67741935,155.0645161,78.03225806,4.193548387,2.580645161,419.3548387,354.8387097,-225.8064516,419.3548387,935.483871,-32.25806452,935.483871,-612.9032258
85,200,39.51612903,110.1290323,0.967741935,1.935483871,741.9354839,-96.77419355,741.9354839,96.77419355,870.9677419,870.9677419,-806.4516129,-290.3225806
86,116.5483871,97.29032258,1,0.322580645,9.35483871,612.9032258,612.9032258,-96.77419355,-935.483871,548.3870968,-96.77419355,548.3870968,225.8064516
87,58.77419355,110.1290323,103.7096774,5.161290323,5.806451613,-32.25806452,-1000,612.9032258,-548.3870968,419.3548387,-741.9354839,-290.3225806,935.483871
88,148.6451613,161.483871,135.8064516,0,5.161290323,741.9354839,677.4193548,161.2903226,1000,677.4193548,-419.3548387,-32.25806452,-677.4193548
89,26.67741935,26.67741935,174.3225806,6.451612903,7.096774194,290.3225806,548.3870968,-935.483871,161.2903226,-354.8387097,-548.3870968,548.3870968,741.9354839
90,65.19354839,84.4516129,142.2258065,4.516129032,7.419354839,-612.9032258,-483.8709677,-677.4193548,-612.9032258,1000,96.77419355,806.4516129,225.8064516
91,13.83870968,78.03225806,78.03225806,1.935483871,0,-419.3548387,-806.4516129,-1000,354.8387097,-548.3870968,-935.483871,-741.9354839,935.483871
92,1,167.9032258,161.483871,9.35483871,7.741935484,870.9677419,-354.8387097,-870.9677419,806.4516129,-806.4516129,290.3225806,935.483871,677.4193548
93,155.0645161,58.77419355,78.03225806,8.387096774,1.290322581,1000,-32.25806452,-32.25806452,741.9354839,419.3548387,-290.3225806,806.4516129,741.9354839
94,122.9677419,45.93548387,193.5806452,7.741935484,0.322580645,96.77419355,741.9354839,-419.3548387,-741.9354839,419.3548387,419.3548387,-677.4193548,-935.483871
95,13.83870968,200,200,5.161290323,8.709677419,-612.9032258,290.3225806,225.8064516,161.2903226,548.3870968,741.9354839,290.3225806,-225.8064516
96,65.19354839,122.9677419,65.19354839,10,3.870967742,-419.3548387,-741.9354839,806.4516129,-1000,-32.25806452,-612.9032258,32.25806452,-870.9677419
97,200,26.67741935,39.51612903,8.709677419,9.677419355,-225.8064516,935.483871,870.9677419,419.3548387,-806.4516129,741.9354839,612.9032258,548.3870968
98,90.87096774,45.93548387,103.7096774,2.258064516,7.741935484,-741.9354839,-419.3548387,806.4516129,548.3870968,935.483871,-225.8064516,225.8064516,-1000
99,33.09677419,187.1612903,26.67741935,5.161290323,0.967741935,-741.9354839,741.9354839,354.8387097,-935.483871,-483.8709677,612.9032258,870.9677419,-612.9032258
100,142.2258065,142.2258065,58.77419355,2.258064516,0.64516129,548.3870968,-741.9354839,-677.4193548,1000,161.2903226,741.9354839,-806.4516129,-354.8387097
101,103.7096774,187.1612903,39.51612903,10,6.451612903,419.3548387,-612.9032258,935.483871,-419.3548387,-935.483871,-483.8709677,-806.4516129,-32.25806452
102,71.61290323,174.3225806,78.03225806,5.483870968,4.838709677,-225.8064516,677.4193548,96.77419355,-419.3548387,-354.8387097,-225.8064516,-612.9032258,161.2903226
103,200,122.9677419,155.0645161,2.903225806,6.129032258,-806.4516129,32.25806452,677.4193548,-612.9032258,354.8387097,-32.25806452,96.77419355,96.77419355
104,52.35483871,84.4516129,200,2.258064516,3.225806452,935.483871,612.9032258,-483.8709677,290.3225806,870.9677419,483.8709677,96.77419355,-32.25806452
105,135.8064516,26.67741935,13.83870968,9.032258065,3.225806452,32.25806452,-354.8387097,-225.8064516,935.483871,-32.25806452,-1000,-354.8387097,290.3225806
106,174.3225806,103.7096774,142.2258065,6.451612903,4.193548387,-870.9677419,741.9354839,-32.25806452,-1000,870.9677419,225.8064516,741.9354839,935.483871
107,20.25806452,45.93548387,1,6.451612903,5.806451613,-161.2903226,32.25806452,1000,354.8387097,32.25806452,354.8387097,-935.483871,-806.4516129
108,1,26.67741935,129.3870968,4.838709677,0.322580645,-548.3870968,483.8709677,483.8709677,354.8387097,741.9354839,-677.4193548,419.3548387,32.25806452
109,116.5483871,58.77419355,90.87096774,4.193548387,10,-806.4516129,-483.8709677,161.2903226,-354.8387097,-290.3225806,-1000,-677.4193548,-419.3548387
110,193.5806452,155.0645161,180.7419355,3.225806452,7.419354839,-548.3870968,-161.2903226,870.9677419,935.483871,548.3870968,1000,96.77419355,935.483871
111,45.93548387,71.61290323,52.35483871,10,0.64516129,-935.483871,-1000,-806.4516129,806.4516129,96.77419355,-870.9677419,-32.25806452,161.2903226
112,90.87096774,174.3225806,174.3225806,7.741935484,3.225806452,-354.8387097,354.8387097,419.3548387,1000,1000,-741.9354839,-1000,612.9032258
113,167.9032258,20.25806452,103.7096774,9.35483871,10,741.9354839,-806.4516129,354.8387097,-741.9354839,-870.9677419,-290.3225806,677.4193548,225.8064516
114,116.5483871,110.1290323,116.5483871,8.064516129,2.580645161,-225.8064516,225.8064516,741.9354839,-161.2903226,-548.3870968,1000,741.9354839,-870.9677419
115,20.25806452,13.83870968,20.25806452,1.612903226,9.35483871,-741.9354839,-612.9032258,-225.8064516,612.9032258,1000,-612.9032258,-161.2903226,935.483871
116,58.77419355,180.7419355,122.9677419,4.193548387,0,548.3870968,-935.483871,-354.8387097,870.9677419,-612.9032258,806.4516129,290.3225806,-741.9354839
117,78.03225806,33.09677419,161.483871,8.709677419,8.709677419,741.9354839,-612.9032258,1000,-161.2903226,-225.8064516,-32.25806452,-290.3225806,-1000
118,84.4516129,78.03225806,45.93548387,0.64516129,1.935483871,612.9032258,290.3225806,-870.9677419,-612.9032258,-32.25806452,-483.8709677,-612.9032258,-741.9354839
119,122.9677419,84.4516129,33.09677419,5.806451613,4.516129032,-741.9354839,-1000,419.3548387,225.8064516,-806.4516129,225.8064516,-354.8387097,-806.4516129
120,7.419354839,116.5483871,103.7096774,4.193548387,5.161290323,-935.483871,290.3225806,1000,741.9354839,-419.3548387,161.2903226,96.77419355,548.3870968
121,174.3225806,7.419354839,116.5483871,6.774193548,6.774193548,1000,-1000,-612.9032258,-806.4516129,-32.25806452,419.3548387,935.483871,-32.25806452
122,20.25806452,193.5806452,7.419354839,5.806451613,1.935483871,-612.9032258,-741.9354839,612.9032258,677.4193548,-741.9354839,419.3548387,548.3870968,-548.3870968
123,71.61290323,39.51612903,148.6451613,4.193548387,8.064516129,225.8064516,96.77419355,935.483871,-32.25806452,612.9032258,419.3548387,-161.2903226,741.9354839
124,103.7096774,65.19354839,103.7096774,6.129032258,6.129032258,1000,870.9677419,-354.8387097,-225.8064516,225.8064516,-612.9032258,354.8387097,1000
125,90.87096774,103.7096774,180.7419355,10,0.322580645,354.8387097,-32.25806452,-612.9032258,225.8064516,-419.3548387,548.3870968,-935.483871,354.8387097
126,39.51612903,1,193.5806452,1.290322581,5.161290323,290.3225806,-612.9032258,225.8064516,-1000,-96.77419355,290.3225806,225.8064516,225.8064516
127,97.29032258,103.7096774,65.19354839,7.419354839,9.032258065,32.25806452,-225.8064516,-290.3225806,-419.3548387,354.8387097,-741.9354839,870.9677419,483.8709677
128,52.35483871,129.3870968,20.25806452,3.548387097,4.838709677,-677.4193548,-806.4516129,-96.77419355,-96.77419355,290.3225806,-483.8709677,-935.483871,290.3225806
129,26.67741935,65.19354839,155.0645161,4.838709677,6.774193548,-483.8709677,1000,419.3548387,677.4193548,-935.483871,935.483871,1000,-1000
130,103.7096774,200,26.67741935,0.322580645,1.612903226,-483.8709677,-677.4193548,32.25806452,-677.4193548,935.483871,-1000,806.4516129,96.77419355
131,58.77419355,142.2258065,180.7419355,0,6.129032258,-225.8064516,354.8387097,-741.9354839,483.8709677,-290.3225806,-354.8387097,870.9677419,-290.3225806
132,174.3225806,155.0645161,13.83870968,5.161290323,4.516129032,612.9032258,-32.25806452,1000,-354.8387097,-96.77419355,935.483871,-483.8709677,-483.8709677
133,20.25806452,39.51612903,161.483871,3.548387097,2.580645161,-935.483871,677.4193548,354.8387097,32.25806452,-32.25806452,96.77419355,419.3548387,-225.8064516
134,167.9032258,71.61290323,193.5806452,7.096774194,0.967741935,806.4516129,225.8064516,-161.2903226,32.25806452,612.9032258,806.4516129,32.25806452,96.77419355
135,20.25806452,129.3870968,90.87096774,2.903225806,0.322580645,161.2903226,354.8387097,-548.3870968,-806.4516129,-806.4516129,-225.8064516,-870.9677419,-677.4193548
136,193.5806452,200,65.19354839,7.741935484,0,-96.77419355,935.483871,483.8709677,741.9354839,-161.2903226,-32.25806452,-96.77419355,-354.8387097
137,122.9677419,13.83870968,71.61290323,3.870967742,10,-548.3870968,225.8064516,612.9032258,-1000,225.8064516,612.9032258,-612.9032258,-32.25806452
138,33.09677419,200,39.51612903,2.580645161,4.193548387,612.9032258,806.4516129,-290.3225806,-548.3870968,741.9354839,-870.9677419,32.25806452,-1000
139,142.2258065,122.9677419,200,0.64516129,7.419354839,96.77419355,548.3870968,96.77419355,-161.2903226,32.25806452,935.483871,-419.3548387,612.9032258
140,174.3225806,90.87096774,65.19354839,8.709677419,5.161290323,161.2903226,96.77419355,290.3225806,-612.9032258,-677.4193548,-1000,548.3870968,-225.8064516
141,20.25806452,26.67741935,52.35483871,8.064516129,4.516129032,-290.3225806,-290.3225806,-677.4193548,-1000,419.3548387,-419.3548387,96.77419355,677.4193548
142,116.5483871,39.51612903,52.35483871,8.709677419,9.032258065,-483.8709677,-806.4516129,-483.8709677,741.9354839,741.9354839,290.3225806,-354.8387097,-612.9032258
143,1,13.83870968,155.0645161,5.161290323,7.096774194,483.8709677,-419.3548387,-290.3225806,-741.9354839,-741.9354839,806.4516129,-1000,-290.3225806
144,110.1290323,155.0645161,167.9032258,6.129032258,10,-677.4193548,-225.8064516,-677.4193548,548.3870968,-612.9032258,-870.9677419,612.9032258,870.9677419
145,45.93548387,97.29032258,39.51612903,9.35483871,0,32.25806452,32.25806452,741.9354839,-806.4516129,-225.8064516,161.2903226,-1000,-548.3870968
146,129.3870968,1,1,2.258064516,0,1000,225.8064516,-290.3225806,612.9032258,-1000,-483.8709677,-483.8709677,548.3870968
147,200,78.03225806,129.3870968,9.677419355,3.870967742,-612.9032258,806.4516129,32.25806452,32.25806452,-419.3548387,290.3225806,-161.2903226,612.9032258
148,1,1,52.35483871,2.903225806,8.064516129,32.25806452,-935.483871,1000,483.8709677,870.9677419,548.3870968,-612.9032258,-225.8064516
149,135.8064516,78.03225806,110.1290323,7.741935484,9.35483871,-483.8709677,-290.3225806,225.8064516,-354.8387097,612.9032258,612.9032258,483.8709677,419.3548387
150,161.483871,161.483871,174.3225806,5.483870968,0,-806.4516129,612.9032258,-161.2903226,-290.3225806,96.77419355,1000,870.9677419,677.4193548
151,1,58.77419355,71.61290323,6.129032258,2.580645161,225.8064516,-677.4193548,-419.3548387,96.77419355,483.8709677,-419.3548387,-870.9677419,354.8387097
152,33.09677419,129.3870968,7.419354839,0,8.064516129,354.8387097,-290.3225806,741.9354839,-612.9032258,-354.8387097,-290.3225806,-290.3225806,1000
153,33.09677419,167.9032258,20.25806452,1.290322581,2.580645161,96.77419355,-1000,-935.483871,-483.8709677,225.8064516,741.9354839,-96.77419355,-419.3548387
154,78.03225806,1,78.03225806,0.322580645,6.774193548,354.8387097,806.4516129,-677.4193548,806.4516129,-870.9677419,-741.9354839,741.9354839,-161.2903226
155,200,13.83870968,193.5806452,2.258064516,8.064516129,-354.8387097,-548.3870968,-96.77419355,225.8064516,-677.4193548,161.2903226,870.9677419,870.9677419
156,122.9677419,180.7419355,90.87096774,6.451612903,5.483870968,870.9677419,806.4516129,-741.9354839,-161.2903226,-96.77419355,-290.3225806,96.77419355,-548.3870968
157,155.0645161,122.9677419,97.29032258,3.225806452,9.677419355,225.8064516,-548.3870968,32.25806452,870.9677419,225.8064516,-870.9677419,-354.8387097,-290.3225806
158,187.1612903,7.419354839,148.6451613,1.290322581,7.741935484,677.4193548,612.9032258,741.9354839,677.4193548,419.3548387,806.4516129,612.9032258,-806.4516129
159,187.1612903,110.1290323,122.9677419,9.35483871,9.35483871,-161.2903226,-32.25806452,935.483871,-1000,-741.9354839,-1000,-548.3870968,612.9032258
160,45.93548387,45.93548387,110.1290323,2.903225806,6.451612903,870.9677419,-225.8064516,870.9677419,1000,-483.8709677,-935.483871,-161.2903226,225.8064516
161,90.87096774,33.09677419,90.87096774,3.870967742,0.967741935,548.3870968,-161.2903226,-96.77419355,-419.3548387,32.25806452,290.3225806,-96.77419355,-870.9677419
162,200,193.5806452,200,5.483870968,2.580645161,290.3225806,-806.4516129,-741.9354839,-870.9677419,-1000,677.4193548,-548.3870968,-1000
163,13.83870968,148.6451613,155.0645161,7.096774194,9.032258065,-1000,870.9677419,612.9032258,935.483871,870.9677419,96.77419355,677.4193548,741.9354839
164,58.77419355,167.9032258,142.2258065,2.580645161,8.387096774,806.4516129,-161.2903226,-1000,-935.483871,-96.77419355,-677.4193548,354.8387097,741.9354839
